Area,Lat_NO,Lon_NO,Lat_NE,Lon_NE,Lat_SE,Lon_SE,Lat_SO,Lon_SO,Risk
Site,47.20796694,-1.564621104,47.20796694,-1.564621104,47.20796694,-1.564621104,47.20796694,-1.564621104,H
N_NE_R1,47.20886626,-1.564621104,47.20860285,-1.563685012,47.20796694,-1.564621104,47.20796694,-1.564621104,W
N_NE_R2,47.20976558,-1.564621104,47.20923875,-1.562748897,47.20860285,-1.563685012,47.20976558,-1.564621104,M
NE_E_R1,47.20860285,-1.563685012,47.20796693,-1.563297286,47.20796694,-1.564621104,47.20860285,-1.563685012,H
NE_E_R2,47.20923875,-1.562748897,47.20796691,-1.561973467,47.20796693,-1.563297286,47.20923875,-1.562748897,L
E_SE_R1,47.20796693,-1.563297286,47.20733102,-1.563685034,47.20796694,-1.564621104,47.20796693,-1.563297286,H
E_SE_R2,47.20796691,-1.561973467,47.20669509,-1.562748987,47.20733102,-1.563685034,47.20796691,-1.561973467,H
SE_S_R1,47.20733102,-1.563685034,47.20706762,-1.564621104,47.20796694,-1.564621104,47.20733102,-1.563685034,H
SE_S_R2,47.20669509,-1.562748987,47.20616829,-1.564621104,47.20706762,-1.564621104,47.20669509,-1.562748987,H
S_SO_R1,47.20706762,-1.564621104,47.20733102,-1.565557173,47.20796694,-1.564621104,47.20706762,-1.564621104,H
S_SO_R2,47.20616829,-1.564621104,47.20669509,-1.56649322,47.20733102,-1.565557173,47.20616829,-1.564621104,H
SO_O_R1,47.20733102,-1.565557173,47.20796693,-1.565944922,47.20796694,-1.564621104,47.20733102,-1.565557173,H
SO_O_R2,47.20669509,-1.56649322,47.20796691,-1.56726874,47.20796693,-1.565944922,47.20669509,-1.56649322,H
O_NO_R1,47.20796693,-1.565944922,47.20860285,-1.565557196,47.20796694,-1.564621104,47.20796693,-1.565944922,W
O_NO_R2,47.20796691,-1.56726874,47.20923875,-1.56649331,47.20860285,-1.565557196,47.20796691,-1.56726874,M
NO_N_R1,47.20860285,-1.565557196,47.20886626,-1.564621104,47.20796694,-1.564621104,47.20860285,-1.565557196,W
NO_N_R2,47.20923875,-1.56649331,47.20976558,-1.564621104,47.20886626,-1.564621104,47.20923875,-1.56649331,M
